bloque,filas,max_abs_dT0,max_abs_dTj,max_abs_dPj,mean_abs_dT0,mean_abs_dTj,mean_abs_dPj
base,12,14.346789169311524,8.784484164096398,3.737850208309329,5.115536410013834,4.890785207506483,1.3194507571053455
icl_mod,12,8.209085998535155,6.06697867620375,2.604997898184571,4.392190558115641,2.3046453853038784,1.621190231184558
m_mod,3,20.336176452636717,1.323897645630879,6.4156948903795055,20.048736673990884,0.8668193364162811,6.054853630523868
