Vj,rh0,T0_ref,T0_calc,dT0,Tj_ref,Tj_calc,dTj,Pj_ref,Pj_calc,dPj
2.0,0.9,27.58,27.622957229614258,0.04295722961425952,35.48,35.50313264781341,0.023132647813412177,26.33,26.684191238561517,0.35419123856151913
2.0,0.95,26.96,27.00737953186035,0.04737953186035071,35.25,35.27947085213688,0.02947085213688183,26.87,26.84902998197512,-0.020970018024879522
2.0,1.0,26.38,26.421756744384766,0.04175674438476662,35.04,35.066740997424816,0.026740997424816726,27.03,27.005811884897913,-0.024188115102088403
1.5,0.9,26.73,27.69857406616211,0.968574066162109,35.17,34.36574114894545,-0.8042588510545485,25.88,26.478643220120865,0.5986432201208665
1.5,0.95,26.12,27.080163955688477,0.9601639556884756,24.95,34.08252962760951,9.132529627609511,26.04,26.68567084221745,0.6456708422174522
1.5,1.0,25.55,26.491966247558594,0.941966247558593,24.74,33.813159304916276,9.073159304916278,26.2,26.8825805481062,0.682580548106202
1.0,0.9,22.57,27.81238555908203,5.242385559082031,33.66,31.438115144228938,-2.2218848557710587,24.35,25.961680865866704,1.6116808658667026
1.0,0.95,22.03,27.189769744873047,5.159769744873046,33.34,31.000760218395573,-2.33923978160443,24.58,26.277451122318393,1.6974511223183946
1.0,1.0,21.51,26.59770965576172,5.087709655761717,33.16,30.58480910414898,-2.5751908958510157,27.71,26.577767826804433,-1.1322321731955682
0.5,0.9,13.7,27.977609634399414,14.277609634399415,30.05,25.406315057352156,-4.643684942647845,21.73,25.016922624337322,3.286922624337322
0.5,0.95,13.27,27.348899841308594,14.078899841308594,29.75,24.643121665098867,-5.106878334901133,21.95,25.558026739444905,3.608026739444906
0.5,1.0,12.87,26.751174926757812,13.881174926757813,29.46,23.91748652730307,-5.542513472696932,22.15,26.072502052142127,3.9225020521421285
